disposition,orbit_period_days,stellar_radius_sun,stellar_effective_temp_kelvin,planet_equilibrium_temp_kelvin,stellar_surface_gravity_log10_cm_s2
0,11.3246821,0.824734,5518.0,707.3693882,4.59176
0,6.261169,0.211257,3145.0,414.5815396,5.04431
0,,0.857648,5544.0,661.2039892,4.5609
1,14.8559691,0.86,5544.0,788.0,4.5609
1,14.4751062,0.55035,3841.0,407.866275,4.69364
1,9.6141636,0.840608,5477.0,749.8978043,4.5707
1,4.9404714,1.13,6086.0,1178.0,4.26269
1,9.6926392,0.746003,4665.0,626.5734732,4.56182
1,6.390888,1.32,6191.0,1227.0,4.27017
1,0.9689927,1.41398,6430.0,2332.2259008,4.25113
1,10.338505,0.84,5336.96,903.0,4.55466
0,1.283251,0.560391,3855.0,923.6720985,4.68499
0,1.2284388,0.53023,3526.0,841.1003116,4.71105
1,0.6166953,1.57,6588.0,2958.0,4.1855
1,9.6001126,1.2103699,5891.0,950.8147029,4.30161
1,2.6998294,0.92,6180.0,1639.0,4.57956
0,0.581322,0.38621,3446.0,952.4881815,4.83941
1,0.980972,0.764401,4486.0,1320.951709,4.49914
1,5.3987355,1.26,5875.23,1192.0,4.26474
1,7.16199,1.81,6229.0,1649.0,4.0
0,1.4412175,1.46,5672.9,1626.0,4.13
1,1.6849938,1.11,5923.0,1198.0,4.38
1,3.9152737,1.58,5714.0,1170.0,4.05
1,3.1968838,1.59715,6470.0,1671.1249287,4.15
1,3.9443668,1.75475,5494.0,1461.6208264,3.93
0,3.93034,1.37,6292.0,,
1,4.5371361,1.48668,5731.0,1326.6264827,4.1
0,5.929405,,,,
1,14.3392144,1.1374201,6295.7,841.9410276,4.438
1,2.8716983,1.91,6840.0,2281.0,4.05
1,6.0964074,0.731699,4820.4,737.3642914,4.6
1,,0.731699,4820.4,177.5215972,4.6
1,5.6666168,1.47,6530.0,1277.0,4.23
0,1.56029,2.29,6897.0,3900.0,3.89
0,8.8735214,1.18,5992.0,1591.0,4.34
0,7.8513774,,,,
0,7.6869063,3.07,5147.3,1409.0,
1,2.534612,,5009.6,1193.0,
0,1.3797091,2.67,5924.0,3626.0,3.68
0,1.49861,,8590.0,4828.0,4.12
1,6.2407826,0.9,4174.0,708.0,4.34197
0,2.6796,1.32,5938.0,1492.0,4.23
1,6.1406417,1.87493,8298.0,1714.087545,4.19
0,11.0765063,1.86,6460.0,1033.0,4.0
0,0.6193401,1.79,7812.5,,
0,2.6400663,2.72,5155.0,2611.0,
0,2.5778717,3.16,8321.0,4400.0,3.75
0,3.80509,2.35,6555.5,1644.0,3.83
0,2.99041,3.56,8542.0,4252.0,3.66
1,4.9865029,,,,
0,0.890967,0.87,5159.2,2099.0,4.5
1,2.1096805,0.940806,5673.0,1284.923458,4.55383
1,3.9729429,,,,
0,1.19888,5.46,7315.0,2172.0,
1,3.37644,,8639.7,1589.0,3.96
0,2.03905,2.68,9003.0,3550.0,3.94
0,2.9424142,1.79,6854.0,3452.0,4.1
0,1.0793011,0.67,4349.3,2612.0,4.62
0,8.0428575,,8286.0,2522.0,
1,3.9392211,4.12,8715.0,2902.0,3.55
0,4.0157492,2.07,6585.0,1417.0,3.94
0,2.01976,1.72,7274.6,2444.0,4.18
1,8.1995368,0.650533,4028.0,577.2199136,4.55902
0,1.748054,,,,
0,2.65646,3.98,6135.4,1545.0,3.4
0,2.65688,,,,
1,4.7201912,1.8,6696.0,1609.0,4.08
0,4.03349,6.37,11348.0,2400.0,
0,3.3295394,2.35,7965.0,1916.0,3.98
0,3.8615978,2.45,7396.0,1933.0,3.89
1,3.3448312,1.76,9364.0,2277.0,4.32
1,95.174,1.51811,5723.2,254.6525048,3.6
1,8.8803281,0.92,5555.7,777.0,4.49
1,28.580474,0.920435,5555.7,545.0001759,4.49
1,38.3511223,0.920435,5555.7,494.1094771,4.49
1,1.4015183,0.597007,3794.0,891.6389885,4.67812
0,8.5874668,0.987583,5929.0,895.5943008,4.48275
0,6.4474918,1.69,6477.6,1443.0,4.13
0,1.4136455,,5869.0,2358.0,
0,3.4040139,1.65,9622.0,4701.0,4.39
0,13.7432169,1.4,5941.5,1015.0,4.23
1,8.47134,4.88,5146.0,2137.0,
1,5.5025577,0.784109,4965.0,811.847988,4.56
1,1.7622537,0.784109,4965.0,1186.6066429,4.56
1,0.8474218,0.846387,5300.0,1678.5549814,4.56
1,4.8420438,0.846387,5300.0,938.9141348,4.56
0,2.14056,0.84,4567.0,1174.0,4.39
1,12.71672,1.27,5711.1,673.0,4.24
1,4.1269046,1.59,6888.0,1715.0,4.23416
1,5.5402372,3.39,6415.0,1925.0,3.49
1,5.9294089,,,,
1,5.2958813,1.93,5958.7,,
0,4.4350025,1.87,9706.0,2535.0,4.29
0,1.4287976,1.65,9224.0,5621.0,4.37
1,2.1702725,1.8527499,9218.0,2652.9602078,4.27
1,24.2544697,,8381.3,1749.0,
0,0.33759,1.37,7387.0,2725.0,4.39
0,1.67346,2.45,10445.0,3304.0,4.09
0,2.5152549,2.11,5915.0,2311.0,3.82
1,0.4628844,0.188624,3043.0,723.3961549,5.09707
0,0.70902,2.36,8999.0,4453.0,4.05
1,2.237462,1.66,7050.0,2085.0,4.19
1,1.9173816,7.39,8129.0,1849.0,
0,9.6926509,3.51,6012.0,1045.0,3.39
1,1.7753644,3.23,9598.0,2597.0,3.81
0,1.8286961,1.23,6046.3,3235.0,4.43
0,14.8626982,1.73364,5705.0,962.2429589,3.97
